iter	Passed	Remaining
0	1	308
1	2	243
2	3	220
3	4	206
4	5	197
5	5	191
6	6	186
7	7	182
8	8	178
9	9	175
10	10	175
11	11	174
12	12	173
13	12	171
14	13	168
15	14	166
16	15	165
17	16	163
18	17	162
19	17	160
20	18	159
21	19	156
22	20	155
23	21	154
24	21	152
25	22	152
26	23	151
27	24	150
28	25	149
29	26	148
30	27	147
31	27	146
32	28	145
33	29	144
34	30	143
35	31	142
36	32	141
37	33	141
38	34	140
39	34	139
40	35	138
41	36	138
42	37	137
43	38	136
44	39	135
45	40	134
46	41	134
47	42	133
48	42	132
49	43	131
50	44	130
51	45	129
52	46	128
53	47	127
54	48	127
55	49	126
56	50	126
57	51	125
58	52	124
59	52	123
60	53	122
61	54	121
62	55	120
63	56	119
64	57	118
65	58	117
66	58	117
67	59	116
68	60	115
69	61	114
70	62	113
71	63	112
72	64	112
73	65	111
74	66	110
75	66	109
76	67	108
77	68	107
78	70	107
79	70	106
80	71	105
81	72	104
82	73	103
83	74	102
84	75	101
85	76	100
86	76	99
87	77	98
88	78	98
89	79	97
90	80	96
91	81	95
92	82	94
93	82	93
94	83	92
95	84	91
96	85	90
97	86	89
98	87	88
99	87	87
100	88	86
101	89	86
102	90	85
103	91	84
104	92	83
105	92	82
106	93	81
107	94	80
108	95	79
109	96	78
110	96	77
111	97	76
112	98	75
113	99	75
114	100	74
115	101	73
116	102	72
117	102	71
118	103	70
119	104	69
120	105	68
121	106	67
122	106	66
123	107	66
124	108	65
125	109	64
126	110	63
127	111	62
128	112	61
129	112	60
130	113	59
131	114	58
132	115	58
133	116	57
134	117	56
135	117	55
136	118	54
137	119	53
138	120	52
139	121	51
140	122	51
141	122	50
142	123	49
143	124	48
144	125	47
145	126	46
146	127	45
147	127	44
148	128	44
149	129	43
150	130	42
151	131	41
152	132	40
153	133	39
154	133	38
155	134	38
156	135	37
157	136	36
158	137	35
159	138	34
160	138	33
161	139	32
162	140	31
163	141	31
164	142	30
165	143	29
166	144	28
167	144	27
168	145	26
169	146	25
170	147	25
171	148	24
172	149	23
173	150	22
174	150	21
175	151	20
176	152	19
177	153	18
178	154	18
179	155	17
180	156	16
181	157	15
182	157	14
183	158	13
184	159	12
185	160	12
186	161	11
187	162	10
188	163	9
189	164	8
190	164	7
191	165	6
192	166	6
193	167	5
194	168	4
195	169	3
196	170	2
197	170	1
198	171	0
199	172	0
